id,value
1,28.328117800251654
10,25.166324640123676
11,29.021024759512382
12,24.181226950792297
13,30.71152289787532
14,22.95891456178097
15,21.975362776353524
16,24.965575140471802
17,20.34769700593205
18,12.064123967170554
19,19.4375927603717
2,18.642550012309012
20,43.196099687054584
21,38.648213860095666
22,27.105090738722176
23,32.288762131540416
24,41.402227251304126
25,22.081230248672266
26,27.01147374359128
27,39.91939875031953
28,32.849337487693866
29,25.821437327583833
3,16.80094038948045
30,26.688331365922068
31,32.95342359661624
32,36.876699820760535
33,28.56406172540313
34,28.45957973121236
35,21.716902317162532
36,29.533193656068818
37,22.394041189419806
38,9.184103615672216
39,15.275042092086078
4,19.410493259736477
40,14.665602405951086
41,9.18779106802812
42,18.00127176071752
43,7.865273465476459
44,17.232802452047757
45,17.20234445616056
46,20.803783919170638
47,16.973684266158372
48,16.353863378742304
49,22.400769487673802
5,35.20355763152632
50,21.047982484274268
6,24.666737706539024
7,18.835628488949418
8,34.91821241307861
9,24.136233957950775
